benchmark_name,migration_mechanism,average_execution_time(ms),execution_time_deviation,migration_bandwidth(MB/GCycles)
503.postencil,all-local-access,27920.47,112.99,0
503.postencil,pmem-optimized,215731.27,1740.82,165.26029843258266
503.postencil,exchange-pages,465958.53,76310.14,65.42772162124415
503.postencil,basic-exchange-pages,287749.00,21016.52,86.44649513632345
503.postencil,thp-migration,480355.40,138066.13,62.98733147279319
503.postencil,opt-migration,660688.30,318210.21,61.286906918116
503.postencil,all-remote-access,294312.20,2590.70,0
504.polbm,all-local-access,19918.80,18.51,0
504.polbm,pmem-optimized,132832.00,616.38,216.33137584342765
504.polbm,exchange-pages,257508.80,45034.81,75.59326902435552
504.polbm,basic-exchange-pages,161221.00,2039.45,123.01210366606446
504.polbm,thp-migration,235064.00,34481.44,65.43939813889297
504.polbm,opt-migration,262834.40,48249.16,66.87484355122919
504.polbm,all-remote-access,180575.20,226.67,0
553.pclvrleaf,all-local-access,21625.80,43.44,0
553.pclvrleaf,pmem-optimized,245213.60,4899.98,151.4291623484383
553.pclvrleaf,exchange-pages,436952.20,24738.34,73.05033936758652
553.pclvrleaf,basic-exchange-pages,329349.80,15714.12,80.16592042481408
553.pclvrleaf,thp-migration,458689.00,19666.15,59.00439903213217
553.pclvrleaf,opt-migration,469182.60,18364.72,63.458924581853694
553.pclvrleaf,all-remote-access,396254.80,945.92,0
555.pseismic,all-local-access,19783.60,65.69,0
555.pseismic,pmem-optimized,214427.00,1738.48,226.05761425586437
555.pseismic,exchange-pages,338092.60,2904.94,88.23527755997354
555.pseismic,basic-exchange-pages,288219.20,2432.35,112.09192808711657
555.pseismic,thp-migration,395948.40,25656.25,66.62889158309711
555.pseismic,opt-migration,355989.00,11408.95,71.6074916143672
555.pseismic,all-remote-access,299856.60,193.15,0
