benchmark_name,migration_mechanism,average_execution_time(ms),execution_time_deviation,migration_bandwidth(MB/GCycles)
503.postencil,all-local-access,27942.00,29.75,0
503.postencil,pmem-optimized,205157.20,2937.97,167.81564240204247
503.postencil,exchange-pages,256693.20,2909.57,96.51511876104401
503.postencil,basic-exchange-pages,280802.00,3627.55,89.45203853611665
503.postencil,thp-migration,315841.80,26062.64,70.51633087884215
503.postencil,opt-migration,319722.00,12928.94,66.70540556081698
503.postencil,all-remote-access,293771.60,653.64,0
504.polbm,all-local-access,19926.80,39.73,0
504.polbm,pmem-optimized,122672.00,715.86,283.6973135572421
504.polbm,exchange-pages,140126.00,2685.42,178.64195656480567
504.polbm,basic-exchange-pages,162836.20,2063.49,133.01198260333337
504.polbm,thp-migration,174913.40,12796.62,89.02960194653531
504.polbm,opt-migration,174506.00,2510.87,88.98176488048615
504.polbm,all-remote-access,180962.40,352.81,0
553.pclvrleaf,all-local-access,21628.80,20.00,0
553.pclvrleaf,pmem-optimized,232363.80,7528.54,134.40701407426667
553.pclvrleaf,exchange-pages,284298.40,6144.94,87.61133191203591
553.pclvrleaf,basic-exchange-pages,341753.80,21040.15,80.79324210838124
553.pclvrleaf,thp-migration,352707.40,7784.13,60.30496139815769
553.pclvrleaf,opt-migration,376490.40,12326.60,63.41566827029487
553.pclvrleaf,all-remote-access,395518.80,1798.01,0
555.pseismic,all-local-access,19773.80,72.08,0
555.pseismic,pmem-optimized,221877.00,5996.05,181.84407406432163
555.pseismic,exchange-pages,251358.20,2014.80,115.75354264276355
555.pseismic,basic-exchange-pages,288962.20,3869.35,108.14886712389038
555.pseismic,thp-migration,308117.60,5127.93,78.74466953483119
555.pseismic,opt-migration,297679.40,14823.38,82.10967269608888
555.pseismic,all-remote-access,300249.20,369.06,0
